''Date'',''Open'',''High'',''Low'',''Close'',''Adj Close'',''Volume'',''ticker''
''12/15/2023'',''148.3800048828125'',''150.57000732421875'',''147.8800048828125'',''149.97000122070312'',''149.97000122070312'',110039100,''AMZN''
''12/18/2023'',''150.55999755859375'',''154.85000610351562'',''150.0500030517578'',''154.07000732421875'',''154.07000732421875'',62512800,''AMZN''
''12/19/2023'',''154.39999389648438'',''155.1199951171875'',''152.69000244140625'',''153.7899932861328'',''153.7899932861328'',43171300,''AMZN''
''12/20/2023'',''152.89999389648438'',''155.6300048828125'',''151.55999755859375'',''152.1199951171875'',''152.1199951171875'',50322100,''AMZN''
''12/21/2023'',''153.3000030517578'',''153.97000122070312'',''152.10000610351562'',''153.83999633789062'',''153.83999633789062'',36305700,''AMZN''
''12/22/2023'',''153.77000427246094'',''154.35000610351562'',''152.7100067138672'',''153.4199981689453'',''153.4199981689453'',29480100,''AMZN''
''12/26/2023'',''153.55999755859375'',''153.97999572753906'',''153.02999877929688'',''153.41000366210938'',''153.41000366210938'',25067200,''AMZN''
''12/27/2023'',''153.55999755859375'',''154.77999877929688'',''153.1199951171875'',''153.33999633789062'',''153.33999633789062'',31434700,''AMZN''
''12/28/2023'',''153.72000122070312'',''154.0800018310547'',''152.9499969482422'',''153.3800048828125'',''153.3800048828125'',27057000,''AMZN''
''12/29/2023'',''153.10000610351562'',''153.88999938964844'',''151.02999877929688'',''151.94000244140625'',''151.94000244140625'',39789000,''AMZN''
